Foraging rate,Species,Movement rate,Social category,Sex,Locality,Seasonality,Weater conditions,Time of day,Flock size(Species number),Flock size(Birds number),Foraging rate flocks
0.5,Setophaga cerulea,17.67272727,Solitary,Male,Otro,15,50,11:00,1,1,5.81
5.8,Setophaga cerulea,15,Flock,Male,Jerico,2,30,15:00,16,23,5.79
5.81,Setophaga cerulea,7.272727273,Flock,Male,Tamesis,26,0,10:00,14,20,5.7
5.79,Setophaga cerulea,33.6,Flock,Male,Jerico,4,40,8:00,21,30,4.12
5.7,Setophaga cerulea,33.75,Flock,Male,Jerico,6,20,10:00,30,36,5.82
4.5,Setophaga cerulea,28.96551724,Flock,Female,Jerico,7,50,10:00,21,23,5.69
6,Setophaga cerulea,22.92134831,Flock,Male,Tamesis,25,100,9:00,15,25,4.13
5.69,Setophaga cerulea,12,Flock,Male,Fredonia,17,0,9:00,15,33,
4.13,Setophaga cerulea,30,Flock,Female,Jerico,4,,12:00,,,
1,Setophaga cerulea,,Solitary,,,,,,,,
1.8,Setophaga cerulea,,Solitary,,,,,,,,
2.3,Setophaga cerulea,,Solitary,,,,,,,,
21.3559322,Oreothlypis peregrina,9.152542373,Flock,,Tamesis,31,100,8:00,27,38,21.3559322
21.33333333,Oreothlypis peregrina,15.33333333,Flock,,Tamesis,31,100,8:00,27,38,21.33333333
20,Oreothlypis peregrina,12,Flock,,Fredonia,16,10,16:00,4,5,20
19.43661972,Oreothlypis peregrina,11.83098592,Flock,,Fredonia,19,100,6:00,10,15,19.43661972
14.54545455,Oreothlypis peregrina,3.636363636,Flock,,Fredonia,19,80,12:00,13,24,14.54545455
14.11764706,Oreothlypis peregrina,15,Flock,,Tamesis,28,60,10:00,32,55,14.11764706
13.77777778,Oreothlypis peregrina,20,Flock,,Fredonia,14,0,16:00,4,5,13.77777778
13.7704918,Oreothlypis peregrina,23.60655738,Flock,,Tamesis,31,0,11:00,16,21,13.7704918
12.61146497,Oreothlypis peregrina,19.10828025,Flock,,Fredonia,18,80,10:00,18,30,12.61146497
12,Oreothlypis peregrina,16,Flock,,Fredonia,14,0,15:00,4,4,12
10.83333333,Oreothlypis peregrina,28.33333333,Flock,,Fredonia,20,80,10:00,25,35,10.83333333
9.473684211,Oreothlypis peregrina,18.94736842,Flock,,Fredonia,14,30,8:00,17,27,9.473684211
8.888888889,Oreothlypis peregrina,13.33333333,Flock,,Jerico,3,30,10:00,13,14,8.888888889
7.5,Oreothlypis peregrina,19.77272727,Flock,,Fredonia,17,0,8:00,15,33,7.5
7.5,Oreothlypis peregrina,27.5,Flock,,Fredonia,17,0,9:00,15,33,7.5
7.5,Oreothlypis peregrina,9,Flock,,Tamesis,31,50,10:00,9,15,7.5
6.923076923,Oreothlypis peregrina,27.69230769,Flock,,Tamesis,23,50,10:00,14,23,6.923076923
6.666666667,Oreothlypis peregrina,15,Flock,,Fredonia,12,50,9:00,10,15,6.666666667
6.371681416,Oreothlypis peregrina,20.7079646,Flock,,Tamesis,23,50,10:00,14,23,6.371681416
6,Oreothlypis peregrina,27,Flock,,Tamesis,28,60,10:00,32,55,6
5.853658537,Oreothlypis peregrina,38.04878049,Flock,,Tamesis,26,0,10:00,14,20,5.853658537
5.714285714,Oreothlypis peregrina,28.57142857,Flock,,Fredonia,19,100,6:00,10,15,5.714285714
4.363636364,Oreothlypis peregrina,22.90909091,Flock,,Jerico,6,20,10:00,30,36,4.363636364
4.077669903,Oreothlypis peregrina,16.89320388,Flock,,Fredonia,14,0,16:00,4,5,4.077669903
4.06779661,Oreothlypis peregrina,30.50847458,Flock,,Tamesis,29,100,16:00,15,27,4.06779661
3.913043478,Oreothlypis peregrina,19.56521739,Flock,,Fredonia,11,,16:00,8,10,3.913043478
3.826086957,Oreothlypis peregrina,19.82608696,Flock,,Jerico,3,10,8:00,9,,3.826086957
3.797468354,Oreothlypis peregrina,15.94936709,Flock,,Jerico,5,60,12:00,10,14,3.797468354
3.75,Oreothlypis peregrina,11.25,Flock,,Fredonia,11,,16:00,8,10,3.75
3.38028169,Oreothlypis peregrina,31.26760563,Flock,,Tamesis,24,0,8:00,9,19,3.38028169
2.950819672,Oreothlypis peregrina,20.6557377,Flock,,Fredonia,14,0,16:00,4,5,2.950819672
