species,foragingrate,movementrate,sociality,gender,locality,dayofseason,time,flocksizespecies,flocksizeind,foragingrate,movementrate,foragingrate_cont,movementrate_cont
Setophaga cerulea,3,21,Flock,Male,Tamesis,23,15:00,11,19,3,21,2.5,21.25
Setophaga cerulea,2,14,Flock,Female,Jerico,5,8:00,14,18,2,14,2.4,14.4
Setophaga cerulea,2,20,Flock,Male,Jerico,3,10:00,,,2,20,2.307692308,20
Setophaga cerulea,2,37,Flock,Male,Fredonia,17,13:00,10,18,2,37,2.307692308,36.92307692
Setophaga cerulea,2,29,Flock,Female,Jerico,7,8:00,21,30,2,29,2.25,28.5
Setophaga cerulea,3,24,Flock,Female,Jerico,6,9:00,30,36,3,24,2.5,24.44444444
Setophaga cerulea,3,28,Flock,Male,Fredonia,17,15:00,20,29,3,28,2.8,28.42105263
Setophaga cerulea,3,32,Flock,Female,Fredonia,10,11:00,14,21,3,32,2.6,32.14285714
Setophaga cerulea,2,20,Flock,Male,Tamesis,28,11:00,32,55,2,20,1.875,19.6875
Setophaga cerulea,2,19,Flock,Female,Jerico,5,12:00,10,14,2,19,1.875,18.75
Setophaga cerulea,2,41,Flock,Male,Tamesis,26,10:00,14,20,2,41,1.764705882,40.58823529
Setophaga cerulea,1,17,Flock,Female,Fredonia,12,14:00,5,7,1,17,1.216216216,17.02702703
Setophaga cerulea,1,17,Solitary,Male,Fredonia,18,14:00,1,1,1,17,0.833333333,16.66666667
Setophaga cerulea,1,14,Flock,Male,Jerico,2,16:00,17,18,1,14,0.631578947,13.89473684
Setophaga cerulea,1,18,Solitary,Male,Otro,15,11:00,1,1,1,18,0.5,17.67272727
Setophaga cerulea,6,15,Flock,Male,Jerico,2,15:00,16,23,6,15,5.8,15
Setophaga cerulea,6,7,Flock,Male,Tamesis,26,10:00,14,20,6,7,5.81,7.272727273
Setophaga cerulea,6,34,Flock,Male,Jerico,4,8:00,21,30,6,34,5.79,33.6
Setophaga cerulea,6,34,Flock,Male,Jerico,6,10:00,30,36,6,34,5.7,33.75
Setophaga cerulea,5,29,Flock,Female,Jerico,7,10:00,21,23,5,29,4.5,28.96551724
Setophaga cerulea,6,23,Flock,Male,Tamesis,25,9:00,15,25,6,23,6,22.92134831
Setophaga cerulea,6,12,Flock,Male,Fredonia,17,9:00,15,33,6,12,5.69,12
Setophaga cerulea,4,30,Flock,Female,Jerico,4,12:00,,,4,30,4.13,30
Setophaga cerulea,1,,Solitary,UK,,,,,,1,,1,
Setophaga cerulea,2,,Solitary,UK,,,,,,2,,1.8,
Setophaga cerulea,2,,Solitary,UK,,,,,,2,,2.3,
Oreothlypis peregrina,21,9,Flock,UK,Tamesis,31,8:00,27,38,21,9,21.3559322,9.152542373
Oreothlypis peregrina,21,15,Flock,UK,Tamesis,31,8:00,27,38,21,15,21.33333333,15.33333333
Oreothlypis peregrina,20,12,Flock,UK,Fredonia,16,16:00,4,5,20,12,20,12
Oreothlypis peregrina,19,12,Flock,UK,Fredonia,19,6:00,10,15,19,12,19.43661972,11.83098592
Oreothlypis peregrina,15,4,Flock,UK,Fredonia,19,12:00,13,24,15,4,14.54545455,3.636363636
Oreothlypis peregrina,14,15,Flock,UK,Tamesis,28,10:00,32,55,14,15,14.11764706,15
Oreothlypis peregrina,14,20,Flock,UK,Fredonia,14,16:00,4,5,14,20,13.77777778,20
Oreothlypis peregrina,14,24,Flock,UK,Tamesis,31,11:00,16,21,14,24,13.7704918,23.60655738
Oreothlypis peregrina,13,19,Flock,UK,Fredonia,18,10:00,18,30,13,19,12.61146497,19.10828025
Oreothlypis peregrina,12,16,Flock,UK,Fredonia,14,15:00,4,4,12,16,12,16
Oreothlypis peregrina,11,28,Flock,UK,Fredonia,20,10:00,25,35,11,28,10.83333333,28.33333333
Oreothlypis peregrina,9,19,Flock,UK,Fredonia,14,8:00,17,27,9,19,9.473684211,18.94736842
Oreothlypis peregrina,9,13,Flock,UK,Jerico,3,10:00,13,14,9,13,8.888888889,13.33333333
Oreothlypis peregrina,8,20,Flock,UK,Fredonia,17,8:00,15,33,8,20,7.5,19.77272727
Oreothlypis peregrina,8,28,Flock,UK,Fredonia,17,9:00,15,33,8,28,7.5,27.5
Oreothlypis peregrina,8,9,Flock,UK,Tamesis,31,10:00,9,15,8,9,7.5,9
Oreothlypis peregrina,7,28,Flock,UK,Tamesis,23,10:00,14,23,7,28,6.923076923,27.69230769
Oreothlypis peregrina,7,15,Flock,UK,Fredonia,12,9:00,10,15,7,15,6.666666667,15
Oreothlypis peregrina,6,21,Flock,UK,Tamesis,23,10:00,14,23,6,21,6.371681416,20.7079646
Oreothlypis peregrina,6,27,Flock,UK,Tamesis,28,10:00,32,55,6,27,6,27
Oreothlypis peregrina,6,38,Flock,UK,Tamesis,26,10:00,14,20,6,38,5.853658537,38.04878049
Oreothlypis peregrina,6,29,Flock,UK,Fredonia,19,6:00,10,15,6,29,5.714285714,28.57142857
Oreothlypis peregrina,4,23,Flock,UK,Jerico,6,10:00,30,36,4,23,4.363636364,22.90909091
Oreothlypis peregrina,4,17,Flock,UK,Fredonia,14,16:00,4,5,4,17,4.077669903,16.89320388
Oreothlypis peregrina,4,31,Flock,UK,Tamesis,29,16:00,15,27,4,31,4.06779661,30.50847458
Oreothlypis peregrina,4,20,Flock,UK,Fredonia,11,16:00,8,10,4,20,3.913043478,19.56521739
Oreothlypis peregrina,4,20,Flock,UK,Jerico,3,8:00,9,,4,20,3.826086957,19.82608696
Oreothlypis peregrina,4,16,Flock,UK,Jerico,5,12:00,10,14,4,16,3.797468354,15.94936709
Oreothlypis peregrina,4,11,Flock,UK,Fredonia,11,16:00,8,10,4,11,3.75,11.25
Oreothlypis peregrina,3,31,Flock,UK,Tamesis,24,8:00,9,19,3,31,3.38028169,31.26760563
